rid,room_name,state,province,town,pic_main,addr_lot,addr_street,using_fee,pyeong_size,room_cnt,bathroom_cnt,cookroom_cnt,sittingroom_cnt,reco_type_1,reco_type_2,longterm_discount_per,early_discount_per,is_new,is_super_host,lat,lng,crawl_datetime,crawl_timestamp,search_keyword,analysis_start_date,analysis_end_date,occupancy_rate_percent,total_reserved_days,total_days_analyzed,months_analyzed,analysis_date
45793,역삼3강남6 休숙소💖,서울특별시,강남구,역삼동,room/56178EF8-0EBC-41DD-B9C3-9D4D52F908E0.png,서울특별시 강남구 역삼동 823-26 강남역두산위브센티움,서울특별시 강남구 테헤란로14길 8,315000,9,1,1,0,0,False,False,10,2,False,True,37.49865,127.03295,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,60.71,17,28,2,2025-07-29 00:34:00
41697,❤️강남.한강뷰 예쁜집1,서울특별시,강남구,청담동,room/F5BF9462-C669-4074-AA2B-D7C3956B3FA5.png,서울특별시 강남구 청담동 130-9 현대 오피스텔,서울특별시 강남구 영동대로 738,270000,7,1,1,1,0,False,False,15,1,False,True,37.52409,127.05539,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,67.86,19,28,2,2025-07-29 00:34:01
30597,❤️한강뷰 예쁜집 할인3,서울특별시,강남구,청담동,room/D6DE3E0B-B501-40BA-B191-444C2FFDD951.png,서울특별시 강남구 청담동 130-9 현대 오피스텔,서울특별시 강남구 영동대로 738,270000,8,1,1,1,0,False,False,15,1,False,True,37.52409,127.05539,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,100.0,28,28,2,2025-07-29 00:34:01
23630,수서역🚶‍♂️2분/2-3인실,서울특별시,강남구,수서동,room/9DDF8A2B-6342-48BC-AC4F-40EC1FCAF50F.png,서울특별시 강남구 수서동 716 사이룩스오피스텔,서울특별시 강남구 광평로 295,530000,13,1,1,1,1,False,False,5,0,False,True,37.48845,127.10418,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,85.71,24,28,2,2025-07-29 00:34:02
14739,선릉역 5분 넓은원룸,서울특별시,강남구,대치동,room/41090e83-dbd3-45bf-9150-daf598d48fa3.jpg,서울특별시 강남구 대치동 891-23 대치동 대우아이빌명문가,서울특별시 강남구 선릉로90길 56,320000,10,1,1,1,1,False,False,5,0,False,True,37.50544,127.05358,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,89.29,25,28,2,2025-07-29 00:34:03
5528,양재 수서역🤫탄천뷰,서울특별시,강남구,수서동,room/355D46AA-579E-4073-BA6A-3BCD1C582034.png,서울특별시 강남구 수서동 716 사이룩스오피스텔,서울특별시 강남구 광평로 295,375000,11,1,1,1,1,False,False,5,0,False,True,37.48845,127.10418,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,82.14,23,28,2,2025-07-29 00:34:04
19697,삼성 코엑스🐽코앞 룸,서울특별시,강남구,대치동,room/ED44C20C-7E20-4158-9694-A6320983CB77.png,서울특별시 강남구 대치동 943-24 신안메트로칸,서울특별시 강남구 테헤란로88길 10,490000,8,1,1,0,0,False,False,5,0,False,True,37.50684,127.05946,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,67.86,19,28,2,2025-07-29 00:34:05
8010,선릉역1분🌈강남 코엑스,서울특별시,강남구,역삼동,room/94812D0A-97AE-4AC6-BEA6-1D1E0FDE798B.png,서울특별시 강남구 역삼동 708-16 능현오피스텔,서울특별시 강남구 선릉로89길 16,510000,9,1,1,1,1,False,False,10,0,False,True,37.50342,127.04781,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,50.0,14,28,2,2025-07-29 00:34:06
54060,삼성 대치 분리형 원룸,서울특별시,강남구,대치동,room/e1155888-06e7-4cde-a023-7be9f41547c3.jpg,서울특별시 강남구 대치동 891-6 테헤란로 대우 아이빌,서울특별시 강남구 테헤란로 428,320000,10,1,1,0,0,False,False,5,0,False,True,37.50569,127.05418,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,100.0,28,28,2,2025-07-29 00:34:06
39436,선릉역 대치동 깔끔원룸,서울특별시,강남구,대치동,room/2787de14-70fd-47fb-bb02-eb2f670cddc2.jpg,서울특별시 강남구 대치동 891-23 대치동 대우아이빌명문가,서울특별시 강남구 선릉로90길 56,300000,10,1,1,0,0,False,False,0,5,False,True,37.50503,127.05383,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,100.0,28,28,2,2025-07-29 00:34:07
62199,청담역2분럭셔리아파트 ,서울특별시,강남구,청담동,room/B2D32596-F3B4-417F-BCE2-522BF4AE2895.png,서울특별시 강남구 청담동 33 청담동 삼성1차 아파트,서울특별시 강남구 삼성로133길 20,1350000,25,3,2,1,1,False,False,0,5,False,False,37.51945,127.04783,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,42.86,12,28,2,2025-07-29 00:34:08
11643,역삼 언주역 30초주차,서울특별시,강남구,역삼동,room/92d63df9-b97d-4710-b463-ac5cb1e3c143.jpg,서울특별시 강남구 역삼동 606 역삼 노블루체(언주역),서울특별시 강남구 봉은사로 174,420000,10,1,1,0,1,False,False,5,1,False,True,37.50674,127.03311,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,39.29,11,28,2,2025-07-29 00:34:09
65290,강남역 스위트룸,서울특별시,강남구,역삼동,room/024fcc68-92eb-4154-ad34-eb236289260e.jpg,서울특별시 강남구 역삼동 831-11,서울특별시 강남구 강남대로 338,1100000,17,1,1,1,1,False,False,5,5,False,False,37.4935,127.03057,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,89.29,25,28,2,2025-07-29 00:34:10
65046,💖선릉역삼풀옵특가퀸침대,서울특별시,강남구,역삼동,room/B6485823-E6EA-46C2-883F-D80FD5B56B02.png,서울특별시 강남구 역삼동 703-6 K타워 오피스텔,서울특별시 강남구 언주로98길 32,269000,7,1,1,1,0,False,False,10,0,False,False,37.50451,127.04432,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,100.0,28,28,2,2025-07-29 00:34:11
60922,🩵예쁜 강남역 풀옵션,서울특별시,강남구,역삼동,room/5740b91c-bee7-4179-8bf9-c9341cea1d03.jpg,서울특별시 강남구 역삼동 825-24,서울특별시 강남구 강남대로84길 15,360000,7,1,1,1,1,False,False,7,3,False,False,37.497,127.02983,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,39.29,11,28,2,2025-07-29 00:34:12
56468,삼성역 코엑스 풀옵션,서울특별시,강남구,삼성동,room/275d52d5-f9f7-4a37-afb3-ba0ba1cd1b05.jpg,서울특별시 강남구 삼성동 157-14,서울특별시 강남구 테헤란로83길 19,390000,7,1,1,1,0,False,False,5,0,False,False,37.5086,127.05721,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,71.43,20,28,2,2025-07-29 00:34:12
54763,🏡강남역삼8. 바로앞,서울특별시,강남구,역삼동,room/9C067375-6082-48CB-9B51-3CAD0D2DACB2.png,서울특별시 강남구 역삼동 735-15,서울특별시 강남구 테헤란로14길 13,300000,10,1,1,0,0,False,False,15,3,False,False,37.49854,127.03352,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,57.14,16,28,2,2025-07-29 00:34:13
54265,♡강남역2분♡풀옵션,서울특별시,강남구,역삼동,room/5b430eb1-341a-41e5-aef9-8a1f0c46b5dd.jpg,서울특별시 강남구 역삼동 825-24,서울특별시 강남구 강남대로84길 15,360000,8,1,1,1,0,False,False,5,0,False,False,37.497,127.02983,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,75.0,21,28,2,2025-07-29 00:34:14
54081, 강남역5분💕역삼역3,서울특별시,강남구,역삼동,room/689E3145-C794-4DB5-B5C2-6AE8867436B9.png,서울특별시 강남구 역삼동 823-26 강남역두산위브센티움,서울특별시 강남구 테헤란로14길 8,310000,9,1,1,1,0,False,False,5,0,False,False,37.49865,127.03295,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,28.57,8,28,2,2025-07-29 00:34:15
53789,대치 삼성병원 대청,서울특별시,강남구,개포동,room/c15eec40-7c11-446b-9bd0-6d14eda95d32.jpg,서울특별시 강남구 개포동 13-3 대청타워,서울특별시 강남구 개포로 623,376000,11,1,1,1,0,False,False,0,0,False,False,37.49434,127.07964,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,96.43,27,28,2,2025-07-29 00:34:16
53620,수서역/SRT❤삼성병원,서울특별시,강남구,수서동,room/1c5d5b31-2f04-493d-920a-4e7e2e4f309a.jpg,서울특별시 강남구 수서동 716 사이룩스오피스텔,서울특별시 강남구 광평로 295,369000,10,1,1,1,1,False,False,10,5,False,False,37.48855,127.10447,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,92.86,26,28,2,2025-07-29 00:34:16
53264,강남/역삼 포근한방💖,서울특별시,강남구,역삼동,room/6d6a40e8-502c-43f4-807c-f8e4d3ff2bfa.jpg,서울특별시 강남구 역삼동 823-26 강남역두산위브센티움,서울특별시 강남구 테헤란로14길 8,340000,10,1,1,0,0,False,False,5,0,False,False,37.49865,127.03295,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,39.29,11,28,2,2025-07-29 00:34:17
50939,강남역30초아늑한방3호,서울특별시,강남구,역삼동,room/78bd3305-9133-471a-928f-174486758b2f.jpg,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티,서울특별시 강남구 테헤란로4길 6,340000,7,1,1,0,0,False,False,7,0,False,False,37.49766,127.02928,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,67.86,19,28,2,2025-07-29 00:34:18
50386,삼성역 대치 선릉 강남,서울특별시,강남구,대치동,room/17677369-4796-48EB-A3B7-79826C2D7DE9.png,서울특별시 강남구 대치동 945-29,서울특별시 강남구 테헤란로92길 13,255000,6,1,1,1,1,False,False,5,1,False,False,37.50716,127.06142,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,82.14,23,28,2,2025-07-29 00:34:19
49764,강남8분☆역삼3분풀옵,서울특별시,강남구,역삼동,room/07650d0e-35d2-4e52-9593-2999a569d414.jpg,서울특별시 강남구 역삼동 736-22 메이플라워멤버스빌오피스텔,서울특별시 강남구 테헤란로20길 15,312000,7,1,1,0,0,False,False,5,2,False,False,37.49874,127.03475,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,50.0,14,28,2,2025-07-29 00:34:20
48849,삼성역 대치 선릉 강남,서울특별시,강남구,대치동,room/1EF4256E-A376-456E-9006-68F66F214E31.png,서울특별시 강남구 대치동 945-29,서울특별시 강남구 테헤란로92길 13,259000,6,1,1,1,1,False,False,5,1,False,False,37.50716,127.06142,2025-07-29 00:01:03,1753714863,강남구,2025-07-29,2025-08-25,64.29,18,28,2,2025-07-29 00:34:21
